991;778
708;778
905;778
194;146
342;146
160;146
203;406
273;406
986;406
908;406
250;406
224;957
664;957
169;957
164;957
801;957
257;957
425;957
331;957
58;957
445;877
546;877
279;877
491;877
378;877
676;858
329;858
646;858
502;858
837;858
338;858
79;858
573;696
266;696
701;696
149;696
823;672
949;672
111;672
446;672
615;672
632;672
996;672
38;672
381;285
583;321
524;321
324;321
390;321
716;939
555;939
829;939
779;939
183;939
83;939
466;939
441;939
626;939
408;751
231;751
188;751
497;751
686;307
792;307
865;307
362;307
558;307
405;307
714;307
521;677
547;677
561;677
67;677
101;677
891;677
428;677
712;124
125;124
759;124
158;124
810;124
337;101
613;101
542;101
973;101
729;481
487;481
12;481
120;580
549;580
603;580
967;580
622;580
660;580
884;953
563;953
625;94
1;94
997;94
136;94
547;591
837;591
599;591
37;591
292;591
616;591
495;591
330;639
103;639
929;639
28;639
428;639
542;434
696;434
743;434
1000;434
175;434
939;434
610;411
200;411
452;411
390;411
429;411
870;37
186;37
561;37
564;951
710;951
59;951
384;826
659;826
103;826
118;826
361;826
597;826
676;826
863;826
520;826
903;198
371;198
535;198
293;198
214;198
173;198
381;575
63;65
620;65
525;627
788;627
819;627
292;627
443;627
312;627
896;627
112;627
503;603
313;603
8;603
626;603
675;603
616;603
306;603
107;603
404;650
724;650
310;650
289;650
371;650
823;650
943;283
162;283
157;283
693;602
830;602
641;602
225;602
346;602
519;602
97;602
654;602
450;602
150;719
970;719
666;719
55;719
775;719
182;719
758;719
42;719
343;719
900;611
44;611
520;611
787;611
805;611
565;611
357;645
973;645
419;645
949;645
615;645
465;645
549;645
511;970
308;970
226;546
180;546
231;546
8;546
628;546
597;546
803;546
795;972
267;972
596;972
205;972
276;972
929;972
571;972
681;972
330;972
825;191
947;191
414;191
475;191
598;191
433;191
119;191
177;531
228;531
138;531
391;4
838;4
110;4
598;4
816;4
586;4
982;4
230;631
224;631
182;631
979;491
608;491
681;491
837;491
13;542
192;542
24;542
332;148
822;148
252;148
897;148
441;131
190;131
533;131
675;131
751;131
313;131
494;131
462;131
814;675
274;675
749;675
718;675
778;675
682;675
